hash,buyer,seller 
SDK1yejH3niSoUKRUHbQ8WYpacVAvA5ARK1ShkK7cVRLt6voodRn6RzFFntYGPYskLEs1FUPLMbozTNaJhdxAmr,8Dwi8sfckhWVBDBFiSvgf8ji8B6ipkExb3ZbsHSXwu5b,3fymS3tFnm3SUE5htNPvvL8BKDfgiHe7yirfZA94zD3D,2.42
5QXtQdbN1TJ4TzdYbLn2y8DGD15afhy1YL449fh6mZSanRPP6CVcvkSM2bHMXExu3BzfehiwCoVzctvqnjt77BVJ,3fymS3tFnm3SUE5htNPvvL8BKDfgiHe7yirfZA94zD3D,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
aSAAEmn3V8zVGieyzvHEY8U4j8bKGM3uEMGUsdmUHT8wx5TkKbZH5M2sBnbGT6jFxyYb5qv7oynsFtBXXuB84gM,3qt8ywiTTYGnWuPDTjtV78VBKrtfcTAs2H3NuawgT4Eg,9r4pkvthSgZ54dTxuyPxcJdDZM16PKuFUpEYe4YAE1JV,3.46
5Zp7asxnkFnebbxngnWXvpHTmhnNweKXRk1L4rkoGZA5QhEJPMwg6NDnBptDLcpkfLR1ptv6bvPnzMQSQXBsnxbo,9r4pkvthSgZ54dTxuyPxcJdDZM16PKuFUpEYe4YAE1JV,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
3AttroEdrcYahgsFMrYnQV6FssWc74DZLG5fnrXe9FNoMZ89L2u77nWHNkbbnev3qQ1nfv6ygLupxvFGuyb3QP9i,8nG3E2GKQgv651YhuQQdoU341DR9usxTrLyMC4vDHiFe,5Hgwq6waiuRMqohBznFUbRf7FUTXG1rEJGsh1rz57vEF,1.88
3MGhaZyRGvt9KuWn2q5ZRAQ2KyCtBXSZHtQWQqyjQ6uss5xXtg5Jew3nNCSTAt4hqsfvKHRftXeZkZURSe6uC7BF,5Hgwq6waiuRMqohBznFUbRf7FUTXG1rEJGsh1rz57vEF,5JmhPhVg3XyGt7icQPxUNDwqZdpZK3Fqvo2iYtdUhwiA,3.65
2fCH2JdWZof5FtzLmZ8zDwn6KsoH9cUUtjPohZf6c5Hxy2oMmx9o9upPQHcxzVihXfjPEygugYbt6r8zCjVfMz5Z,5JmhPhVg3XyGt7icQPxUNDwqZdpZK3Fqvo2iYtdUhwiA,B5HkstcVM4FyqVJwpcHyc4RQA4uvfw5vH7zL67V5zE8j,2.99
4dJwL5bSLjLHbhCKRzDzToSUgDkeg2s4Uk88NHwdhofWJtQ8WYxNrEnTc2PPVtKuhRPMaNBLZgozkySLRkGY4Jqy,B5HkstcVM4FyqVJwpcHyc4RQA4uvfw5vH7zL67V5zE8j,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
4AfstgrjEdwtAWSf3N4Y235cmGYytWmsXtDk698k19Wytia5CZBP2eGxtDhyj81H75KztpGvimr3PtnjYzpF4hgX,2UpG593yhdsjM3K2w15gdraU3iEtG2DqHL3h2XkaC68q,8Dwi8sfckhWVBDBFiSvgf8ji8B6ipkExb3ZbsHSXwu5b,3.55
1JEpxXh91XSb1DiE7tMSLuwttn2NdX7z4mRXxGQArkazmubWFUQBQFQMDBYGuGSGbP99yXujShoTgK7HnKzY7QS,8Dwi8sfckhWVBDBFiSvgf8ji8B6ipkExb3ZbsHSXwu5b,AStY5Jhih8XFGHh5yahCuWxNGrTtjBfW4dNRELYLyAU3,2.43
4Crtu5UAXw8Fhs412Rdup7HEHi6sZPW5SERiMnM4KrT7ZRrB6UdEvtWX5JgtvnhsChgQZLYJ7RM49a6a9sJus8pz,AStY5Jhih8XFGHh5yahCuWxNGrTtjBfW4dNRELYLyAU3,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
3hmKBRTdPDA6vC3cwGXyrtHfHedvzGpaZGAFMzzWuMxzS6w2QBkeqfE82WbaMpwvjHiMuGWTg8JjHbGJFrHkAfUz,5FDHkoy8o572UzyZTVc9KbiBU3n6w72WjLyGUWneASRz,ARRKNZHi8Fq7LMGDe55CJT4NAdqB1E43ZeVrLHhAtzjJ,2.54
Jm5YV7UTiy97oZgyvBPKbGeqRGK7yL9mhTwcUDntA8MfKF6J92xpi1RNJagnVDHdR5H9CKTtjtVSWm2ivmLkdpd,ARRKNZHi8Fq7LMGDe55CJT4NAdqB1E43ZeVrLHhAtzjJ,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
