hash,buyer,seller 
2XkrQheLsmqyKSwin7k8jm22a9DamYZVk42UTjVoKcGWaVGCkyXCvLUxkPRM6JLRKL1TtbHPNKHMiSWPDn9A5bkS,A4H9f41rngpzGE3ZUJTyBxLfB9LtH3q6WtGcwcyK544C,HjeFaL2hz7XAXHiZmP9HnNcJx8tEVtYWWDUGhBP8J51J,5
6kUTcHZMjZVwZnMi1kxjuTYbxRjuPAc9nNNTf2a7NvQZdKWZAxQHyFsJaqNCdCEfmPi9itVTKv4nsBvEBiNeZyR,5Nj4diJyDCeb7dNwXxCQVpChEC5Y37kcCmjtWezKDbce,Ehey6q2FQb1mNCDh5rmZGjPikqoSJASYf9wY2NF6htdm,1.65
4CaZLXLnLmmmUpgfMPDJXrpdpRUv5QmGrCJbV6iWH4rzRTx44X5VZ216sDsmonnJoFhZorq2f4SBf8BBjGFg8jh6,Ehey6q2FQb1mNCDh5rmZGjPikqoSJASYf9wY2NF6htdm,6HbSzXpRFAmfurFoyLD6Dknr7uEqkyKsVBEc6uMwJPVW,1.8
5P6jGeqgNce7R88yjUzgjzxKpHyXQ82c4XMk64Vohvo2h3z9enBNfxkFkB17SS958RXn4f51LBgnKTgK7vz4eStP,65rpuKjrDjQXEnf2vzYBYwUKGRS9pkXb4nJ7PU722ac5,9FHCTYwWYnYiBWFzemw1P8T8NNJ8Fk434oRHKbhp4z3H,1.53
izy4fjtH1t78nYd1ox9GWdSiu4w3Jb791VtpRas13jxXZ8dUtjeyJBHJUHz3vQK2y5sWBvnjWwRTYUcnV1N9q1t,DJrgieh3g1VmvNircW4gbun76kwhUBQch74kCNKeGrpu,vdRBw8owpSWEFYuAzRvV2uZDnzsSRyaqmevRoufqDnG,1.3
V6HoPZ7wqnANW36f8fEoVLWEmWKoTgVaM5YgZTQH7mCFptdGUWdVh5qVoAfZE6R54uF9KmmHkPtLCXeXb5xphjc,vdRBw8owpSWEFYuAzRvV2uZDnzsSRyaqmevRoufqDnG,Bx4PVpjhVv1r5WQQ3rJYmmXtjXdhFKe2moEwwXTwTJq,1.6
5iAn15b2owACrkSgCrWJGQvVUcip6A8JtDC2jjrTKiCrGGCAxFwaqHJR5jTPkK2v1ZisuRSWwkLmG8Sw5EyXY4MS,Bx4PVpjhVv1r5WQQ3rJYmmXtjXdhFKe2moEwwXTwTJq,DCQBp3EZVEzDfQY9Dvtc77o3iLazqkrg1vGvTBUubbwb,2.001
641WzqAdL1rEZYbLy2jkMfEeREws5DqJi1KTp6qGhdJZHwQkYEAAwQCnrKXoMZmZNXy94UWbYU2x4q8BMJHdPjrW,AmR1gkcrApgbqKazAoBHwpKL2saj2RuW8zx3RYiFfzxi,2BjHncoaCsCfc6Ps3c6gtgAHzdFxhFRn9fRNorKXYL47,1.5
32h5vTSPpBa1NmM3jzotMviagRagBz7Mwt4nTVrVtpDxnNw4CJKrbvgi8ADuqvnGBdpoju6CHa4tp9EGgW8W2S2n,2BjHncoaCsCfc6Ps3c6gtgAHzdFxhFRn9fRNorKXYL47,yr3nL2sdChzZ93osUFvpAymz795gsH8bmoTrt7hTg6P,2
3dfw2ZVV3kABkMDVpz6G9hfSidWYwvLpZe1iaCntf1fCLKzqa4TEvr4ha89b3YEEXU4s8ATuYcTvZLJeKxho3biB,5spPYnGHwZx9Cv431qPR29awWLDDcJg29356TsPW9q8n,rLMZFtXGd2kzKmLjnoZaciGsk8BXfKw1JQ2gcQhuucE,1.6
dAuhpa79To8qVJX7vYUU9jGfuDheCZkGsGjJPXspZfcN7wUcx6hvnXFHVYvgbHytAooQLMQf1e2VXz79bDJkULh,8jVpXngr9tgpfHMwwWvE99QRmvCUBmmZLE79U4hBKPr,7c2MvYoLHT2zJ2CeQZ1jFWejdNYKwMMfkD2tK92nuXtb,2.3
