hash,buyer,seller 
dW3fkkvrbJ29D7nP8XRHE52JwE68RMHiQebKPtKeB4AyPBjQNfyUsfFra9ZfdKF9Djzi74EjdVDwbjk2oZ5dUQe,5Ewvog87MwT4L64W71o2RKV8G8DGHScdQtFCJE6QfLF9,DSiraJTAVLRi7cv3ZZt1JUsd1tDvymzLwikH2ZzuQwJd,2.5
4SZH2pkshy4oJYRFqZgMZQNvJgzP3bm8Rz3dLGSaqVpi3UZXFnHfYmkh2prW24KstMufQtLsGjZ4ZntrL4KX3oym,HgDaHCpBQqbeXMkzwu5awEfLgNnr54zvhR5ktikMBUEb,8xZpbRgPbgZYFMf1vcx8FGkwJ4EDoAfeJeh4HC1JGdbW,1.8
3v1MufUCAVh5pDAYgVT2V12i5WZhVuHpbCpChVRnPkC51ReGxSnnAc3HUZ2d8UCqxYqyYCTBJTyxZFq1cRnN2yca,HcS8iaEHwUino8wKzcgC16hxHodnPCyacVYUdBaSZULP,7BpJb8GgFy4H8WHPBmspdwrxQqbieePTtxoEKwk1937E,1.78
56jr9TJ92QDzpU6ZWwcBu9XJguMXJM7xuC5cuJ6cauvZhTp9ruHLPR7vGvqeHj9g7g6tm5XtxpRZ8PV22LiRLqum,7BpJb8GgFy4H8WHPBmspdwrxQqbieePTtxoEKwk1937E,h8NFTvjS1CRy6MC4cd1z5B2736jT4i8ZMsnH3aViSwL,1.78
53B8M4C4iaXNkm4KHhXJ18M2q1KA72Gqfv3upo9seaSLmR4U1DxwuMvZC7U5pb9Xt6FewZFo1BUXr4GzRNWLcebR,EpHEHcykDESB8M7Gs2TTT78VmXzbFxomPu2WHqWYXgKZ,ETpt5PBSkvByhRFunDiVneKQp23GmsthbNhfHT7TBpbn,0.78
2npCGcZ4Fmep3U2A4r2pXfexAcpqtPERLv3DRqvm99dPxjhULz4U7h7obbonFxK4hDU71JS3C4iAjYckMgJwhsTQ,ETpt5PBSkvByhRFunDiVneKQp23GmsthbNhfHT7TBpbn,6HM3Z4JYjGQFyy8jdAs9eJF8PYXttwzGy7DePwtusTTf,1.25
Wt4PkQuRzAN7kfZ3RgyN1MKv2QxxriJSWTxNKhL7FwpSn7Aw8MCvKKRqSJCzCHChtHpbvLqtcqZLtbjuaX3WYER,6HM3Z4JYjGQFyy8jdAs9eJF8PYXttwzGy7DePwtusTTf,Bk14nJKs5J2upakJuuhrBCafRd3mkypCdypg6UiHqCys,1.49
3C3A7AdCaKAevHFNwEnFnqGq81gjoE3jpjwBr2dqAmnGUj4iaAApM2NGPCN9RnuEQUPx7eSxsvqCkhYhdRM8b8DS,Bk14nJKs5J2upakJuuhrBCafRd3mkypCdypg6UiHqCys,BYFFANzHwmwvnBLny4KCmDyW9fivYTwqANpU8v8n8Sda,1.61
7A5CkWxwzAFdAjv21EqwDa4s6ER3XJJqztAB8oZ6JnY9qKgaswEmUwyEcUYEaEDztkxipeVBhVE8WCxwcNaNThU,FH8XkQ3jhjuT4DSuaXbXEUc1RjtpscNWgXYm1wV8RYK3,8mkcxfZsr71J9882BYHSJ4Fitud7fAw4DsDRaPk7qRpi,1.33
2Z8sW6uD7SQaYVNM9tgpKWgHMmCyQpVg4Gd7ppP8RE1CKbgpZ8pjrkZMjiLxJAeRU88NQVd16GHZ8Hv5T4bmBBQa,8mkcxfZsr71J9882BYHSJ4Fitud7fAw4DsDRaPk7qRpi,4S5a3AbQrZ5CjYG1ucKopuzYVFXVpG1mFjfn188C8mc6,1.95
