hash,buyer,seller 
XVR95An7pwwtjFWaTioKsCrXwh8X1otiHBGB3VrNsCTGnTExDSDxcobUspiB5ht2FAu8nUHaKN1khz9fXKh9qHn,9hdFryyCUMv93QoTcNmHRKFmEWbfJWxrqBMjbQaK1J6g,Ha6LNazK4nzJ93QTGXZaLuHhfwrnmbSTLemmxHzZjLeK,2.9
5zHLpKJiAWC37DHvgWr7JSHWpJeHgizKQprLfcpd2efnekPuVvvovvr2YirCMRc7Lwpdt5UWUXqRBav87qQWMwAG,5RBhSb36PtdfGc9BMD2VzZW7biwSArK4nfDzZdMm6Fau,EgucXZ94UpkjRxZABoVZQ7HVUyiWS9X3E7mH4X68VJkV,2.56
hbzcRLr5naQVrRuayiZXBDAiZi5VevNt36Es4kPdCRqsPHUdftZTGyrfXiFN8WxbEbmczF5aPCiEg6eE2GbAokn,AErQdnPCbcK9CSDR4PAdMxWk8Ygf3XMg7EYYunC31VBz,GApYkSsx4kFUAR8MP5w8T75ZbdSPXvVo7GiS11Jzn17H,2.57
3cmULEr4sbLvFgbqMgeiG8iVZwNBhv7RbfkedfdornPqf6FL6ckpKKxtQ328enHMCWNZ59L2XQMubKXTPincSqbM,GApYkSsx4kFUAR8MP5w8T75ZbdSPXvVo7GiS11Jzn17H,7wci8VX2z3mn4s2JwqHxCWrR8knJWCM8LRKCx8m45NWB,2.69
2E3pzv6d5xr2w8LZ2oncgscBWwxB6g9oegPjvkVC2n9G8r2ZnJMGj6bhvtU9x6NkZKzp7v9sAk6CxneskYfJVBvi,4uiHeJkpwNriUKfEWYzoLgzCqmGwjNAt4qnGVtnYPEB5,4pq2ndjk2KiXqCQ5VD7tj8v2gYZg2zgzQVM4m5g62qMq,2.54
3mwH4gdfd3PDGQ6JSpFigKZk6hcbp5FRCnJzyu53MzP1ohNULYcgErVcxBUkgwwDE6HGxwniDwMLvkNEz8jNdFtK,4pq2ndjk2KiXqCQ5VD7tj8v2gYZg2zgzQVM4m5g62qMq,6m9J9u5FK9iZNvWdFndAa3wTUJanXsb5EYmDdkvzSVpv,2.35
tM9FpPEbXLkAqShjtw4RP7CDPZBLWTFC7zT6DqvDoTtb2aF2kTSvusBo788G4ojZwRHuvbdnkeKfRBybNEmxUGZ,3ugk4WtNnDry9meK5NtK4q7m3T7D3FRWyRWYhPYR9nxT,EEfnLaNk9pLzpnD2sqkGi7ERj9fVYgRwNWcGZ4XhPCy6,2.72
55WoZdJ3joVHxD5ARVb7Z11RWopF7KjqBYQRP2uxUvJ9gFGa39x7kdtEHCRAAnhcB6uW65CvwH8YdY8CqGSVfxFH,AdSzMSrY4W7HWwmYac129xmJRj3gy3Y2QwSrXykKqv69,h8NFTSdga6GsV6pSB5qAbx3rFcJQ6VwEy9PTHYGUxBo,2.89
5j6ZSE77RT6q4Xy8dAiKFViWQwNP9WpxiqGXJ7EfpbepMzXHvQ1kbSFiNX1E2msqvzVw6ZkV7Qrzn5QXgMbg4NR2,8G8qxiKhhTpfxZFLR4E7cNidpe7KaJSJ7saQi6rgJuZY,2FgNKdm6GPcgB3pRegAVwPvMN9xXch5cDwoj35Tfpiu1,2.69
3jRAHiMEwmRk46cbqfHSzKvvD2TVGiNQsndttqWcaLwv3F1DdX7wTUddUSwLc9scHc6gSw6wAzmscbt7q4ddgnPV,4xEnSSFNiCgG7ByGQRtyJmLNkhUqUWWU2oRGcS8rKdMy,9iKDNj3Q3ras9fpwYQMaL2oCWQRm6y9KqSMw96SFqDi6,2.9
51HxkniKG2ckLVaozHPDjUh6J96WvTkfrHcNPjLb1VMUzudWGQsyVK4MwwUALuPxmcAdmVAq3zbUQ1jMkzQGtoVv,8vn3Z4JmesNSzBSMrpC77m1RFJfxBoy2kgu8oNLFqJ1y,7EWVqxLANiUWrpHWNGf9pfopFjUf2BnpGdfbnuGqbi2D,2.82
3i16rkxytxe35GMaiay1cfnaqXpEhrZHSxrRyupUvRe7oDUQBkgpe4sB1ikCokEFmbggx1XxiPJdDjaSeRfiLeA5,7EWVqxLANiUWrpHWNGf9pfopFjUf2BnpGdfbnuGqbi2D,ChxVyvcw8p72CHcHWzo4ByLdQDQeCBDTVniR9wPCwfVZ,2.47
5CWNy5HwTUSLUBBvvjcvQHta1pRurVukmokQnEG943asQBnDbS2vfki9mp6MxLYb7jEnwbSzWmwgdkKSEMqS8sDc,ALejyMzXwBG9gf9CdfsJPVUwXR1ENPhRqajGNBGjb64y,4TARyEAeq3Aizow8GqaiEALXyRRmZezLw95csitXwMFg,3.299
514Ukfqs71tn6a4KWrPPeazopV8cv6C7Gztr9XJaDpavb485qRSmANM1RGuSqCdKewN1o4SYJ3YWKXAPmz3WYMYF,E4cjDWTxoEQUyGjY1A6DmjQKkFwjyWkaq9gJNQuGTs96,EeYZho1rb4n59aSEnvvReYZ9pQ2pM5h2FdkRxm1G4fqV,2.98
4UP35dVrscdsum79GzZ4RujjhTNAM9YCMzqXFbVBmo2yF15xnmoXp6WsR9jb3RPtHvn8v4pUVWVbRi1mBtivjQVu,2tFWQjmsf6Uqq9LCB2Mr22d3BEowzzhqxKrsbyg26n69,5DoKpqCzzL7jrU6ATimcDr5GBrcwyGGbVKwVHJJK16pB,3.28
5YtJPBaVNbJm1BXzxFeachzm7DxcpZN1k67Hdc9PYRrygrkC8sxWhHfPG9Q2dyZeGzor5ipzyn1t5X7tkPmCDBW4,GBNSKpr7wRFirMVSf5AUBAdv2Cr2mJhYKfaHGKWumGBo,2BMnfbyeppd7Z9xAzAsMxFmET8VFs7SN1uBc5giNegZ5,3.3
2UqiA85uK1M5sktGynGxAhzwto6M95T3wEg5xW252oGxACdFX5igfQrWkHv3se7yNVXzQqb2rft3ZTWCJUb6QEya,4nr1PcCtm9Y7P5vEBH8PYw5LyxEcdCMre5c92fRuVW3Z,qE61X5pcMAsLwE792C3vUXfMnt6B31VPcwhhth7DAGs,3.289
3xD4EVVeGoWSXaAkkS22sNmy5hDiGLisNvTj8j4ruRzUXL4MtCpFaatniRWTUtYahVTL7BCvpuamDxboMUFunsKk,C5ejV61q7tUoA67tuPMqVvA3oo7dDh9aHm6M3UNJhGTP,JA2JYNEQWmXQmiHWgEmjUdoMTExzfCHhv7xa3cEyqaMS,2.4
3Mk2R46xoYoMsAzdhox6HwjVX4aY5xoZDMscsJhDUAa6t8uXMGbsEFbhhF1gYnebJT8b5YCihwhASnkBjJWx7TjR,DpaeW2cGpQ21vfBsAZvng9gqyexbyGQydcbncy4FoEka,F9L5GYXwStaNx63Te3PYi9MR3qdoFEqgLaV3okhEVFPV,2.95
3SfrVBnSejLvyB5NM9ccm2mY7jkeAB5qrvReak6u6oRVcHGgcquLSJzjkrspMni5A9cWeofX7ErrgYeBYwcZfP62,F9L5GYXwStaNx63Te3PYi9MR3qdoFEqgLaV3okhEVFPV,FGTfuPijFuejxwvFyyGJXtuyGHrepH3onQWHdfQHujhk,2.75
2qB6zzYCcWmofWvvRYoQPzCWEcG8UWGEdPCDg4pC9EiHAhYE8qAvhLZRnLfMenTtmd1vxEuZH19PuYf2pV11icF8,8J5RjtA7FkYQaLdDvxyhhetDzzbsjEjoDggxh9Grrvx3,9ko9zZZQfJvgJj7dsHpX6rdeR8kRSHc9hyXi7YVpxMwg,3
