hash,buyer,seller 
5eQEUDuBqXNaQa1yEzEY9i3aJJeGeF2Givchhr5P2o5FHUNKemCEfNzgHvj1Awc4PPnZhocgjNe2W6h31XrYTAWB,E3QaEWSarg4GLUk81bEhExL5AFtnUvaZBtkEDxF2tRz6,GXL4S2AhPasaDdq3APLqwXFMgR8L5kdTQviHyqcKu1Dn,15.704523619
KQvxT3q2dSQdPCAULCSPkzLNdLFUnTYMTiuebJaitmWmP6WVdQ3mwcR2AQUZfrRZsXnrwj6w7P26VFsQNsmPwFJ,8m3BURT5J5YTohCaWKcpXRj55YUMbvbDc7ZdvGGDdJRd,8LSEsnAjdWNb1PUddeY3GdCuTwT2HKvcqoDetVEH2VhR,13
23Cd5UBhbR7DEMh2w4YPR47F14JvMgsXfDmNTS5j8fRBaYuyJYWBbQF93xCjY2h5nbEV6HDkU3XMnWLmWGcTS2hi,8UyEqzcSuxUU1B8XDc1WCZR8iwHYvQfEoDhVSvV4Rsav,4xV3UfuqvtYJkjEazhErzXcNaoaGrpySG9XVwJvnr1Sf,30
zticYgLYWreyyVCRSa9kFsDL8TMFv1F76m4BzejJ2XF2ouCxEQxRuwBT1J8hu691LmJYCtZJeJnaohcUxa8swBL,A24r88tVBjggwkmREq6J8j9sSAuUjWCP1YpFfsgDCVTD,KeBjHZcS2Bv8DV6LYdWkv8oJP9j3PJucC2kLziFyADX,17
dRpUFFur3YND8nDUXLSiN6CAFyMa69pNVxNJNSKck6e1omdLYf25AJR2EJpDLs5mFbSqY2sSLhf1mAe7fpvzgZt,GrafkbxfhzeJA6Mnu7A5EjGLCfeHNLonVqP77DsgkwX1,E8vEqvSmwuWcWqMRLavq7UuLeVJ5EuLUWqfF9y2k4jo6,0.00203928
2t9iuJ5uosqjgo6zqG6it7HCeYMgXaGV8f8B3WCApLkrAS39Pgu2qpQNxtSUyWeZDvB6kZoyA7WA2sZi52TQyBNj,HFptrsJ1AKQMsCrUbTcEzAbB8afnTN46CtFDfCWVVvVZ,8zePgVs2HYzn5tSZdMXVq8SvxD8wjLuDHJFUpWto3sVj,15.6
5cv5iUovuYYiU4Rvn1S9cXayKGHSKxnD5nxfoS8cf5GkbWS6ZK3njPxGYTaumUJ9j2suj1MaNDsbUpg7QZAbWboC,8zePgVs2HYzn5tSZdMXVq8SvxD8wjLuDHJFUpWto3sVj,EjRAud8cpdSzw3gd7SYZ9fNKFsJgtioXm3g4bkLry2sx,26.5
Y39B67uSFB9Hf8DriAtDLEsAiTAKPfaSYbJUgJy448xCRX3cSb72c9wkagkPspNhp83DBfJ2auFEzz5yj41sG8h,EjRAud8cpdSzw3gd7SYZ9fNKFsJgtioXm3g4bkLry2sx,CmAujoGyDHmwzqvMpoaPr94NZaESTcCZKtXCsSq427tS,15.44
45tS7CqEB6rSt5Qmamt7tHVv28g9gSvCoQQrvp4Y4FuYskPDCXyv3RdiKf6hXp8K3zAaAvgiViVuAUHWNXqdwqeq,CmAujoGyDHmwzqvMpoaPr94NZaESTcCZKtXCsSq427tS,Bbfb7uar2WxTnmrg2iKLJMR2jUvgrRm3aVY4VLFRgSjw,13.00204428
3vgd7aZF93djEXgVyEN6zMFcUmiKc2HxeXKu7UVSxXyW1Pm7KZWPLtPy6DG46X7jFu2htTcuZzW557zSZetHYNAC,Bbfb7uar2WxTnmrg2iKLJMR2jUvgrRm3aVY4VLFRgSjw,XrTVzrPJ1fgLtCiDBKNvfapiZueZz7qKHWtZVKWKiSu,17
3g61X5NCxNBSJFBwrEvui4kEU3j8zPY2oCW5HjN7pzk6ZQhGGj8PBwQM94ppvkkMC2BGBgtZSrFMCXaZS3984eue,8EKYSoumWPaFgPEnFuo6Pw9ZBM8R74FXQWnSnGfzLWzg,6AUm5mmGpkAE7bWmhQtzAJFNd2tNiDEsUG1Qs8DJBcbd,11.95
2VRmPQjGvatrwmboxqpavSihcnBKrwsPNKTpp6v4gVxseMjNpchfYgDFCo5bkKWEZvpaAFm9fcj9hQ269wCE1LrK,6AUm5mmGpkAE7bWmhQtzAJFNd2tNiDEsUG1Qs8DJBcbd,6RmMKe9F4y8cA66B1u9edpWXNYacLxEAPERjc8SakTAY,11
2hoE79CWaZKK663J44go1ck5AazbDUUYp9dugjh5QqAJyqgX3fGt4kVN2gaHXbctbEtLB3aMDD7qobvvwYgYjkiP,6RmMKe9F4y8cA66B1u9edpWXNYacLxEAPERjc8SakTAY,93WbteZH6nrWeHd5JT6mJE5VHbWcCTDZzzqqnpZ98V9G,9.3
2buBTDGwqFxQnMsu18pRHRDPKmdDt25WER92LwDi47rjcT6DH386hA3d7Em2Qq8kFXebnoLrwWBSQt5xG9KhRVPS,3x91h9MUiXYkAXWyYaLaxgc2739twETFxxfRPK5WaNhu,7kxfPThcRB3bWwPr4ocHiJ81U2uM6Y5yRP6Q14Z5gWTL,29.5
3My6RBiqYEwAa6Jyz89ow3RikW4tvXp3HKSGPa6b3V6WqSNzbhfL8hRteNLpifxoPew5mLCiHNrLF7kgsTnyjuv3,7kxfPThcRB3bWwPr4ocHiJ81U2uM6Y5yRP6Q14Z5gWTL,DW31vYYoV8PWteAzQXHSpbVKAUcxRw6YQVkc9pq4a8n7,17.00204428
eDytS7JopNxSqxfuaLhdvnRTYiW9h2uyLBuFvSW5n7ibvkKwEH3qAHgj3mnyFmaXDZnUWeFYDo5yHLKAJNm9mks,Ez2U27TRScksd6q7xoVgX44gX9HAjviN2cdKAL3cFBFE,HLqhdEjWDo6oCThMdNQPo7fXfgYfsoqXa475BGPzs8Cw,16.94204428
5HY9emGmSwMiVdPc53piJwiFSWwTuheqBHnVP3tsLAUEEW7ccHsZAtDHiZzS6sDBAqcVoSmPXdcYkqE5YiCdR1ns,HLqhdEjWDo6oCThMdNQPo7fXfgYfsoqXa475BGPzs8Cw,BANKoqvQsNbFyBRjdeFspm3mJCfZe9PnYz4duGWu5p3M,16.093
4eWNUnwuk9zkycFmsVQNXkuv2jxKz7kPuNBz82EHXXsSXHufge3PCgD2mJw2q4w4PKPxHrPvNCuMkh2QGQEPVtMv,BANKoqvQsNbFyBRjdeFspm3mJCfZe9PnYz4duGWu5p3M,ppGRG7vAiEZfPmdQFYSpEhUQPy1HDzHJsgnka4s6ymi,15.7
5dU7Ecg3rMemtjjxG3Sdbf9gDQ1HfrP6dHHestrtm8UToRwpvgCn3gQnpHDyMMKGGm48Y1fen3kcPytC3hrYAFh7,ppGRG7vAiEZfPmdQFYSpEhUQPy1HDzHJsgnka4s6ymi,9gP18eBNhg3dCxcRch784d9KPQVdh3jFG7eSJ2AWnno9,12
4JKCxHtKh75nK1GiqLRGmAVJFwHQpByHy6WgKYLpg44M6KpsSB4i8NS7CETVStRitgmfoqtdnABWNNE2z95HTLQJ,9gP18eBNhg3dCxcRch784d9KPQVdh3jFG7eSJ2AWnno9,B2n7DGycRPF2zTDbiQAcdu94hB9N6ZwSqTU8jzNVbTKp,9
3darE4pNZ6KKNPRB3wJRmT8XHWg5fNrP47wsFWxZtNT1t5bL9PVzJKPxB2PBiH5xrkhHiU8zx1SX15F4RkHxbHKx,BdskoVEH1dGhhKLEkzbmX1Pp6ibjCkswkAEMjmW8wz42,DHUDHdh8fUTVSpjKuRjAHY7o9P7wZxxwDipwyphzyVoW,27.90204428
3vtubY6SiNGaHV3L8Unrbi7nF7K5UEaGLkiDmtjZMbcWXEAnEbGGTpXYh5FAtnP7P488b1yBbjXKpgxcZafsXiip,DHUDHdh8fUTVSpjKuRjAHY7o9P7wZxxwDipwyphzyVoW,3jVKSDD6aKXykskde5PRoDsX6FHMkDQM4nNmKf7k76HZ,26
1iT3Dw8XMEBbmuFaQtt3XcVaKTkrutMyJv6qgWv2hSa1uEUfyyNpEwr1nvUfV3QMnk8hX3CR3TTrwhTNYCJpedg,2VCD5Y8R58HkxHyk7ecX4PVgkqsjBiLBBwxcZtnm2gAY,zyQjqxdTMSkJykJtFwnVZbxen9oFRhtZJmrJ1eQYKA1,18.88
4bazqNvQnyfvbmr8MXjJiYKr8DFXnS6ENRD2MnoEUx3TQUL9HT2eYrrhcHdBvSW73CCDiDNMvotQsZ7VNzghyNfY,zyQjqxdTMSkJykJtFwnVZbxen9oFRhtZJmrJ1eQYKA1,HEtY9ZqBsM6gQDkuz7KUGrhh9hd9DX4WX29dnKrhb2Jm,10.7
