hash,buyer,seller 
2poR3vQYV9sGzbHVxhvaPUdj7A5poJxQdGTzAyh88pwPKUVoG712WbL8UYgW2xLtMuHf5BB6weMkGeMKSa3SY9RP,CygjMc9fbjrWexepGweKjHQoYnkTLM5aC9UtMvqpeqMm,C84z61r3wA9DFXkFERmoq9azrKCWCeSun5qvceCc2nms,16.4
2aHdh3Zimrvu8rDd2c91cy7naYx4NwmAFtqgZSrQYDdXrPesxDNoNMwpJBuar6DGYXuFkS8HMvTeAmRtPEXQXbYV,CygjMc9fbjrWexepGweKjHQoYnkTLM5aC9UtMvqpeqMm,Chs6G1XcCu7JCJYCjgZwdojr5UCQTimMNpvTkyGxN6Kz,16.5
5wRoD8zt8jzuSVyRioMMYdFJLSrUUjgpWzLAJcKWkFLahuC4kLheg7yiuev3aNQpEERF5h1JKFrX1CfdQMViJ948,CygjMc9fbjrWexepGweKjHQoYnkTLM5aC9UtMvqpeqMm,DicWn6DHEKGG5NCvQ99HbFgLnoxAmwUHGq3n8SB9JHRv,16.5
2VyyPPhxrC5usbMqs2xEz5Be9GY2bSKGttab3uzE8Y63sRV8DFjrFMLX48g14SNaSoprNTwVp6TpQRo6gCfncx5T,CygjMc9fbjrWexepGweKjHQoYnkTLM5aC9UtMvqpeqMm,2W85oejjyhysSTdZjpH7rAVvxb9D21V4MdKmzLvn7Z2n,16.5
678ruq2fDKFDpzLVQQG3dAWZYM5tVGL1GKTRwKShcSxpCLWkvmmUwkx4xCd3YNmL7kTiD8vWeHfbESddhbwaDuei,2W85oejjyhysSTdZjpH7rAVvxb9D21V4MdKmzLvn7Z2n,ECbUxVdHX3s4mYjWmVHkpBnWuffxJEC1TcR2XFbSGvvi,13.85
2xL2NRCkDCX1LbaYMj6oaVWPgPvK5hWZi4y2Y4RVLKtmZTViFoeddbTFBCNkvxweXNZcGCRFVFnLx13qWFwGsh4s,7QBR1ewFud8j8aYbyNFXUnaKPrkPY64LArUXejU9XN5o,Hd7s5SReDTPXYvkke67WzGUuPrCpRX29VJH4zxSo5BLh,17.77
tGR6bJnjKXthUoM2KYdfsyihd7vtZWBUdn8qYaxrSUQcLPvPTrcm6fQMkRgB6nKacZtmaNDeP5CqBWLnKYuC3np,Hd7s5SReDTPXYvkke67WzGUuPrCpRX29VJH4zxSo5BLh,6YUF9bvmbYSVopieXE7boHvByDP9U5ERJoUP6NfcpP9t,16.9
4Pf7qa2SwnBXLecnYTt5Sdnbq4Eg2DtRLJgABrGRTRqdXZHdU2k9VGHQzWdxvhPWUJ6Y4agNUwXL7SnPWef4PPNE,6YUF9bvmbYSVopieXE7boHvByDP9U5ERJoUP6NfcpP9t,HcgY4nJRSMBbU7xk4fBNquZWGaprr2TrjJhCPgC2U3Yb,15
3v8CNZrDXcMUXo9Vk41pcwyKZHsJePjrQW2RnjFRBLNfc3xDLYqpLrwA8BusMwSvoNNgg3GuafRLbuDamemEZCJG,HBU971cGRFzBzSDknZACdkVBBFkVGbLiLjrG2SsoG3XT,ERizV5Xyhz3xybmprTWJYJvCv1FQ9kBBH2CuQiXEd6mW,13.5
5WBJAXDYVJ5Qaatj7AmabbpqQmUEdpYfxLQTdU7vbcyiykVHqKiZtcihtRrjK1o2UCzBmDSyg4LZ4TjMfwXWkg8j,47xqDWXG3pn884XN2UatY3G82jRLZDYg1ai1Ufnjm6WK,DiJzM37PKpES5kpN6Umsx1rKJq59hvQ8bwqAH33xDcqp,13
4MRfgg8yq53bz36JWYBsnsJ566hfS9AbFtC7CV9t1iXY5r93FcUDRUbAcZ2TyA9fGH11NdG3TdSvbjcGuVaxiKmG,2a814ME1gtymWpR8jhjhdU9S2ncEG38SssoTZq7g4eKW,6catVSRENBMjvzrhRZkRHzArubYmD1iiwTEQ6zjJTqtr,14
