hash,buyer,seller 
2KRcd3eYPLHstNrAPqHqpp1DVkGxRhaVe5wBzqZtRguyaU2X8Y6Ynce3V7terS6BKwhPquBT1uZorficGQ298Xnb,3sLE5hSQsJqrGNh6HcUX9vF24JUNAqYLfWtk7jdikMFf,515WGaW6sU5PADdtvRHAp864E9UMNvPSuqpwdtWCtBMd,3.97
4NnurskKTvmZ6hEZBozydi3mAKznVdVpxojbk14PyukBCzm6LoSHon2MRBH5W4RTcq8CdfU8pZKgcNecCVL34bnJ,D8TrJP23P1HjxZGwfPd2Jd8FfwwMirse6YHHXTRDRBUE,7RwpEC4Remj73FG8juEtEMtAMHXGhdbKXMELLkRCrQ5J,5.75
3N8rsa7Jk8peKNQ8RYwg5siTtZVQw7ScyiZ9JAgmJbNgzHWmqBiwgB8B9rbWg4ZQK4L53UFvBdvK9NVTqRc6NZzb,999KqTeMX4H6waG3CQD6FDWvXZ5ZXFtXEii5fL4qeyFc,ESUjKjNeTRhooRPaahaBS8caEBdqVnYiHdUsSHwAJHm6,13.4
2fsN629pptv2VrsR5J9ip4jeBeSijkjNaoE6wMbe4rGP57zdrph8PZC9VgeKRihWYSpVG5rg38tQpD75SK4v42nB,ESUjKjNeTRhooRPaahaBS8caEBdqVnYiHdUsSHwAJHm6,9E9YyT38p3YJ8sq2a74p6frkCfcUAXZsg3dKHwD3d9Cz,3.29
5nw36ZoQuSxcujdAMW1V6i28vqakigWCBu6BzBguo7sawShg26WExkyq4jKkUYPd5GwAupcDEj8RDy4DF9CUc3Mt,9E9YyT38p3YJ8sq2a74p6frkCfcUAXZsg3dKHwD3d9Cz,F835VsUsXk7PgR61HibnsJKs7CP1vb3NWwkXaUaqJoQk,3.39
3p1pc8X6MGYYnyHscqQ2v8958YSgyi57HtqKxhxyVGVw81HzyA746oSwGxQkDv3diS9zk2nw2qF3sD8JRaS1GBLW,F835VsUsXk7PgR61HibnsJKs7CP1vb3NWwkXaUaqJoQk,UBFtQ7Q75otmYZi7TrGCoYQkXj2HsefsyqjXqtuj319,4.3
5yR2WHNdkuY6QwycdYaEQxZzYKHd6CgYFBvzCRNGoDdX3sE93c5aZWeXJeajKSVGZ1KQL6WmRBuPBACDXCnTC9WR,UBFtQ7Q75otmYZi7TrGCoYQkXj2HsefsyqjXqtuj319,93WbteZH6nrWeHd5JT6mJE5VHbWcCTDZzzqqnpZ98V9G,2.49
58BoGZ5gHBtQG7RR3f468YdbUQoGzWctjgcTMY5Bc7jYe5r9XZyFxFfSdudPpn1bLueAPQJZJ6oYZjgfijaNEgGm,2PVaqYytyhWjnp4iZur2ZJ8vXPLwnwNajjJcY2XX5WgR,WLYJBnzsQLqy9CXPRgUfVdhnv8DHvaAGfMbDCmsvr4f,2.8
Ugk5PYK3P3KTTR1Hu6FjeZ3rDgGVYNuG2mUUwTy2C1EmCnPPC1UPks1b5tvhctwW5fJjmZYoESiUTdbL1sYewus,8V98j4xGca9CDC4H8uYiTyvZEuYkSjA4VLX9mytYPHc2,9hpYW3MWYoK7Md675mzfeUX3eje7H8AQSmFDPuraHUEq,13
3HvcXNh6Myy2z1pjfcaD3gSGjG6SDF3jLAPNd5K1VoMNDA79gKxTqcYfP4uUWHxWbVbnEvhg8U7NzpUs3P86LVz4,9hpYW3MWYoK7Md675mzfeUX3eje7H8AQSmFDPuraHUEq,5YDKCXUSta7dArd9wFurRzQZEFtLZ45PZBvdKJdXb7dP,13
4xdMnauDXzbf18HMyJVzPLCzcenFnugvwZngwBGHeBp5CTeUtapRzKe9LPTR2QB45P9YaXqM8qmL8cowTXYP9eUy,5YDKCXUSta7dArd9wFurRzQZEFtLZ45PZBvdKJdXb7dP,4wQ4Qr2sn8q1JEfoQYtniaVA2zHEayFzLCXZieGKEtEg,10
2kRYpGtDvwhPCjNy1a3WTovNbEJiaeVro2ab1eEtXDHduyzk7QbsnQZDjWrbyouHebwN6NcvvbyTda1c8WoRfcKW,5btd6tAC2G3MpMCySZj4ciXMtAX7GjBYknYmkKtsEwPi,FiLdxrAeR1UA79ywDubJR9RFzpLoWur96Li7kvqbt2dN,6.85
2geTsizDQzhdyqivzc9Eg1PUx5oVnPgJ8JW3pf5JRYtfa5TKAvJ7QUPtRvDRd4gCpmAqR86aeHHg8mCB9Thn6xQ6,FiLdxrAeR1UA79ywDubJR9RFzpLoWur96Li7kvqbt2dN,DkfiE7ph9hnorG6bRw9B4oxDdo4QDf2vhCUWEXHqmeet,3.22
