hash,buyer,seller 
3vqwV2iMJPXQGjKfd72ELBjoX5NmtCnvaSfbPmLsok4D5bbXgaBog6dSe9fDqbDyaBrdTcAYs2ZKpKpsu8YbSKBK,5YwM3jjv5onbyQnF31JTD6Y6DwHgKyFdPmAYPkXXRcMT,FSHKpvYta9enQN9T7Dkd4UGmKVCPk8C8RwFrxyRNVoP7,0.33
3H6RN1jDapsE8eL6nEb6uVvsDiEPYh99V68GNbpq7eErCMAwLVpBCKYPuKeMXpq85WbF5WnaoxcFdXYDEXuXL2jD,FSHKpvYta9enQN9T7Dkd4UGmKVCPk8C8RwFrxyRNVoP7,9k9L5VcG9azba2rzbQzX54XtiMa6qaRQj7JUyus7MqWN,0.74
5LmjCnZrNuvq9kY4LzH76FWoSB6NnoBQsTVQVweYB6X3FonZL5VYLBYe1CBZYXzwV8YygVMoVsxbaQJPywUriz6C,9k9L5VcG9azba2rzbQzX54XtiMa6qaRQj7JUyus7MqWN,3QGNCA3HocnJdUai1hTVmKSAbPTTSmi7YYys2qfcBzHV,0.5
3hdfRfLTKSaaAGtNBruyVogseqM5TGzR8tUHn2ciWtP2tGQoZ2f7XrvbuW4PNimNbF9SBkS6zqR9XJfwWmCGzMTU,6DxS3K5F24oq7qe8Yx3PLMvyaizXb2NdjZwKZzgnDoLY,HWtmxc2fbh12AsvGbZQW52vdG1hWBtjMKv1wFXm858sM,0.24
WGteuYhiExpq7cFeW2pGW6bcvaKh1PHyYaGEMXv9qbyvZERyK8SmLeZFVNh6WB3nTnPGaoK1CY2SJYLNBCLCMie,HWtmxc2fbh12AsvGbZQW52vdG1hWBtjMKv1wFXm858sM,ESjm4YvPGt2jidAFwatYLnNSkKoAYwVYmdwvEJi7MWjm,0.5
2VGSfr8mQsxhwzVh81GB2gkQTYWgqNdwNNr1xzGXKsBvoTzTEVmYoZxbMN1UbA1EjdVtQFGrEjpWTAAycHnbCCJi,ESjm4YvPGt2jidAFwatYLnNSkKoAYwVYmdwvEJi7MWjm,Ap5vDjB71W9aC6VoTpzEfmi85CKGVpw65rB9tVJsM8cG,0.69
55yXy9Gpba3gFbWCoCrndnjgGedFU9co1NUu9bAvSCMRF9p4uQFDJMQZutEJ68AEgiZyJMTmvdjYhRHiDrn5AhV5,Ap5vDjB71W9aC6VoTpzEfmi85CKGVpw65rB9tVJsM8cG,6Rg8jqNT8GLcUknoVKuBtda81MAERxzAKzX7taFTyAVn,0.39521
DcBSNsZrfo54cdSYRvjWiZEHz4GVx7jVaTjszL8jaLPnihmvKNenGhTuWUSF7nGbGfSFQSVwunW1Yf1G58F3PSs,6Rg8jqNT8GLcUknoVKuBtda81MAERxzAKzX7taFTyAVn,C4n92d8KYNJm61Snw7dpChw4i3ENHdvxVT4Cdt547whT,0.29
3b2mTUvMDjisTcWaxEa94yKCf7uPBeJKBvsCZuH8VxW3JMFFPz9qEFHyzp46muQTdBmX8348sLM1e2imBWppdr9f,C4n92d8KYNJm61Snw7dpChw4i3ENHdvxVT4Cdt547whT,93WbteZH6nrWeHd5JT6mJE5VHbWcCTDZzzqqnpZ98V9G,0.8
CVAR6cxyKi7FwQgLM8gFYtg8em5CVFQuvaubJZRJ3SM2cTAHxwA42fhiQcE2R8RkAm9RLwdGQZcRnB43qnt3sLM,93WbteZH6nrWeHd5JT6mJE5VHbWcCTDZzzqqnpZ98V9G,Bd8YgzEw1PB44opGK1kWVE7XVXiNce5FaVCW9eXGPoQG,0.666
5GMcXdsWgoAP4n23xTi49YMMn44bXVi3XL9V7R1FNFM6XHaP8z9AuMV2KC1MNyype8RbZ1GEvKda4Ym4AwEtbLb4,94rEpzwowGJQ1dLwB821LFT1NCv18ydXZPinyFqgTqac,8YqBfTjRce1zJWekUaPBsE4kTTjSGNAaajQnhzmtjuNN,1.1
5tuGzy5o4a9FyVrUFYD6MDY2jkzXFnn3tVB5YSR7wrsuocotJpHRb7ffKE3Qx3iawSGsXfQff3conydNade1fCJJ,8YqBfTjRce1zJWekUaPBsE4kTTjSGNAaajQnhzmtjuNN,2N4TC6CRi5FVJ6hTCdJsZYLiuPccUvwNFhgwbLRbahcS,0.9
2m8WKZk7KtH6jZjbhNgn98mTG9soRwT2F3ysR8PSDm5ULuHSmuHFM89qAnT1XZ6nqvAjySKbhwdMSSQo2RcBGzA,7fv3CAV37U9foygbdWHBidGjXfoJ5CRrb1bCYUmH9xhj,BeRYjfo9UbW9YHr6LJytiXrWzDdAPBHrrZnuSNE3NaG8,0.65204928
5HkhwUyV2y9byEcSg3Yg9sEudEcHt9JYXSqzzWHmQuVYyWbVkp87FtRNQJCh4rzMKL4mpEMETeKu1FCi1rFxWrUJ,BeRYjfo9UbW9YHr6LJytiXrWzDdAPBHrrZnuSNE3NaG8,eNZVfszGzRLECepotyfhfmLeLAKLcKXhAG2Bq3UsXd7,0.41204928
2Az6uTwEdfmpL9sgCjX4QMQM4j9YXiPrxvUBP2D9rKf7Xb494tgX9gXbq3yNUngnQRsEj4HJZYNFYKKSaNe54Fa1,eNZVfszGzRLECepotyfhfmLeLAKLcKXhAG2Bq3UsXd7,DLtsQDfjQg5EXGRsrgZy6or38EAV9Hfcn51BFQKmZuYn,0.32
sBKeUpa81LmL4kQMyEkauisvonsLgEzX3vDhJyY1VANsE4o62tdq8inRmAcdcLgWtn4qxhZyK3o53CpqKqDYeCy,5ztqqKQBeh8dYSc1CxH7ghrL3p3onh92WzyMCr73TroP,6a6TuubAFoZdfV6AtzQXTFxYP3r1hSnxgVS2xoCL5Kwi,0.14
