hash,buyer,seller 
2C7PavCbotk3qmFw6nEJ6hCjDUBFGcFMEpPAnx8ZVcu8EHStbMitTpVPRhvpmqe9Mpq1stMAexGdXgbubfwRXWsm,6gduL7WZ7vNUF6rbfc2wBNL7ec8ZyZXnaQhUGkBcYaoz,DJcU9ZDGB8gNgogfBYtsTosVGhrjZLSzSHGpF1KaG6Lb,0.388
E4g5AoDdXmBGsnQ8FEtT892TGywnyyy2iw1T7BjmG3PMXAqjSpSZp3GdLUimo1PHqMTToC5bmPasebf5f9tY1iy,Ci4pQk4BgJpx1qUT4b4XVTxRe3eeAWyjnce3nixfPsN9,8hXJqLmMJzSMVi98sTrfhWVHcLuUVYv8ax7jqzHm49nd,0.85
59ujS2dRhdBRQZMrm67rw7c8b4G5iD464sBVbLS1uNrdu7LjZYWN7Zbo3CvfHHk4FZBwWeh8tDAqVqp85eQS2vrd,2mbutFDrXT3XpkZBUvHXvL5mTG3VUWE59yJz65dvdSKK,9QU7K12NJQHgWSg8ktXiEQTTJv37Pr7yVCSt8txZLHQn,1
5992CHYGfDdWt42feWsNssJqcry9NJdSm46bCtNMSY9JDhgS4SStNAcBSeNCcHv84tzZXj4pZFNDKN3H3GBYfJHZ,9QU7K12NJQHgWSg8ktXiEQTTJv37Pr7yVCSt8txZLHQn,3BzujPbJaxFCYpK4maiaDJD5X7eksMCiB8E4p92ssDp7,0.4999
2gYHhc4nde75m6fjHj7o1cMQfNzL5iCgTFNzwszGxdsWB7Y1DRDUyokdcjB7pVbH5K6G5nait1GCqFhPF2y7fGwa,3BzujPbJaxFCYpK4maiaDJD5X7eksMCiB8E4p92ssDp7,ECVxQ4vtrS8hmwXkQqMVNkoySY7ufj9fZMmgzrZ335V7,0.4313
F5CfYQBcL9dCLXZk47mPBLb4bXCAwArJZyQZDmoh1KbAtL1Pfe6crnYeTUUaqcNb8RLLVACkj5oG7RYEdzzDQ1w,4jULhZNVYMt4UXHhnMsTKmCkDjvVJVyt2PMmL2z8ybv1,5J4vv3CC6tywc8fq1vtXRscGkN9CwirqxzrNQUmVHS5a,0.7
4CPjYwWbVAHArmQdnYbMp3VtzmzhvtcLzTUVH69Co46w4KXMs9R6SJo89APCPFYNA7CMG6AnVBessmZFa3bdZXQK,5J4vv3CC6tywc8fq1vtXRscGkN9CwirqxzrNQUmVHS5a,AsDPU1Jbtx73QQuiUdd6DYWnqqA3UCaySmvivcKkspDR,0.4
5dXS18ecDn1r66PTcyGF3UkioVZknwNaStcg2eaXTx8BdQHMMTURnV6Kt4rPCDcJCrXJsJh5iGFq9nKkv93PtFTL,AsDPU1Jbtx73QQuiUdd6DYWnqqA3UCaySmvivcKkspDR,GAEvKAnh3uVZg4UErwym2EzyJqwRoqsmaRKjJXgaM4GR,0.41
v9LXLgPYjNBKJvpSBKEoEU8rXQ1RefYeimgLBqb47MvfMMBZHezZhsWFHi4vRdZx9eq8vbQTAs7mfheBJJWcBeT,4KHQ9KagVJ7BvCUpEwjFBbgdTknxBwn7ZWHSn1sovmF6,9wDEEMuxpGVZHcjfvUY72TaYPGtF5hhyYKHHE5hHUB7a,0.69
5LYFjmwGU3eoxANzgmxR8vRyQmmbpxCZyQuQYztM5DKnrvHb7t5xJMcLqGwW64o8yRcR14td5DtupyMUZ7sn5Z6x,9wDEEMuxpGVZHcjfvUY72TaYPGtF5hhyYKHHE5hHUB7a,DNpWbW535vDbkbiXs7XjUfL94bN4zcL1iZ8Lwd3SfHm4,0.569
